ScientificName,AphiaID,Match type,ScientificName,Taxon status,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,isMarine,isBrackish,isFresh,isTerrestrial
Recurvirostra avosetta,212721,exact,Recurvirostra avosetta,accepted,212721,Recurvirostra avosetta,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Recurvirostra,,avosetta,,1,,,1
Rissa tridactyla,137156,exact,Rissa tridactyla,accepted,137156,Rissa tridactyla,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rissa,,tridactyla,,1,,,1
Rissa tridactylus,137156,near_2,Rissa tridactyla,accepted,137156,Rissa tridactyla,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rissa,,tridactyla,,1,,,1
Somateria mollissima,137074,exact,Somateria mollissima,accepted,137074,Somateria mollissima,Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,,mollissima,,1,,,1
Stercorarius parasiticus,137172,exact,Stercorarius parasiticus,accepted,137172,Stercorarius parasiticus,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,,parasiticus,,1,,,1
Stercorarius pomarinus,137173,exact,Stercorarius pomarinus,accepted,137173,Stercorarius pomarinus,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,,pomarinus,,1,,,1
Stercorarius skua,137174,exact,Stercorarius skua,accepted,137174,Stercorarius skua,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,,skua,,1,,,1
Sterna albifrons,137157,exact,Sterna albifrons,unaccepted,567480,Sternula albifrons,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,,albifrons,,1,,,1
Sterna dougallii,137160,exact,Sterna dougallii,accepted,137160,Sterna dougallii,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,,dougallii,,1,,,1
Sterna hirundo,137162,exact,Sterna hirundo,accepted,137162,Sterna hirundo,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,,hirundo,,1,,,1
Sterna paradisaea,137165,exact,Sterna paradisaea,accepted,137165,Sterna paradisaea,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,,paradisaea,,1,,,1
Sterna sandvicensis,137166,exact,Sterna sandvicensis,accepted,137166,Sterna sandvicensis,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,,sandvicensis,,1,,,1
Sternula albifrons,567480,exact,Sternula albifrons,accepted,567480,Sternula albifrons,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sternula,,albifrons,,1,,,1
Tadorna tadorna,232042,exact,Tadorna tadorna,accepted,232042,Tadorna tadorna,Animalia,Chordata,Aves,Anseriformes,Anatidae,Tadorna,,tadorna,,0,,1,1
Tringa erythropus,159029,exact,Tringa erythropus,accepted,159029,Tringa erythropus,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,,erythropus,,1,1,1,1
Tringa glareola,225916,exact,Tringa glareola,accepted,225916,Tringa glareola,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,,glareola,,0,0,1,1
Tringa nebularia,158968,exact,Tringa nebularia,accepted,158968,Tringa nebularia,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,,nebularia,,1,,1,1
Tringa totanus,158970,exact,Tringa totanus,accepted,158970,Tringa totanus,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,,totanus,,1,1,1,1
Uria aalge,137133,exact,Uria aalge,accepted,137133,Uria aalge,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Uria,,aalge,,1,,,1
Vanellus vanellus,159142,exact,Vanellus vanellus,accepted,159142,Vanellus vanellus,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,,vanellus,,0,0,,1
Alloteuthis spp.,138138,exact,Alloteuthis,accepted,138138,Alloteuthis,Animalia,Mollusca,Cephalopoda,Myopsida,Loliginidae,Alloteuthis,,,,1,,0,0
Eledone cirrhosa,140600,exact,Eledone cirrhosa,accepted,140600,Eledone cirrhosa,Animalia,Mollusca,Cephalopoda,Octopoda,Eledonidae,Eledone,,cirrhosa,,1,,0,0
Eledone moschata,140601,exact,Eledone moschata,accepted,140601,Eledone moschata,Animalia,Mollusca,Cephalopoda,Octopoda,Eledonidae,Eledone,,moschata,,1,,0,0
Illex coindetii,140621,exact,Illex coindetii,accepted,140621,Illex coindetii,Animalia,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Illex,,coindetii,,1,,0,0
